AAR2		Component of the U5 snRNP, required for splicing of U3 precursors; originally described as a splicing factor specifically required for splicing pre-mRNA of the MATa1 cistron		growth defect and defect in splicing the pre-mRNA of the MATa1 cistron	YBL074C	S000000170
AAT1		Mitochondrial aspartate aminotransferase, catalyzes the conversion of oxaloacetate to aspartate in aspartate and asparagine biosynthesis		Null mutant is viable; aat1 leu2 double mutant is inviable.	YKL106W	S000001589
AAT2	ASP5	Cytosolic aspartate aminotransferase, involved in nitrogen metabolism; localizes to peroxisomes in oleate-grown cells			YLR027C	S000004017
ABC1	COQ8	Protein required for ubiquinone (coenzyme Q) biosynthesis and for respiratory growth; exhibits genetic interaction with COQ9, suggesting a common function; similar to prokaryotic proteins involved in early steps of ubiquinone biosynthesis			YGL119W	S000003087
ABD1		Methyltransferase, catalyzes the transfer of a methyl group from S-adenosylmethionine to the GpppN terminus of capped mRNA			YBR236C	S000000440
ABF1	BAF1|OBF1|REB2|SBF1	DNA binding protein with possible chromatin-reorganizing activity involved in transcriptional activation, gene silencing, and DNA replication and repair			YKL112W	S000001595
ABF2		Mitochondrial DNA-binding protein involved in mitochondrial DNA replication and recombination, member of HMG1 DNA-binding protein family; activity may be regulated by protein kinase A phosphorylation			YMR072W	S000004676
ABM1		Protein of unknown function, required for normal microtubule organization			YJR108W	S000003869
ABP1		Actin-binding protein of the cortical actin cytoskeleton, important for activation of the Arp2/3 complex that plays a key role actin in cytoskeleton organization			YCR088W	S000000684
ABP140	YOR240W	Nonessential protein that binds actin filaments and localizes to actin patches and cables, has similarity to S-adenosylmethionine (AdoMet)-dependent methyltransferases			YOR239W	S000005765
ABZ1		Para-aminobenzoate (PABA) synthase, has similarity to Escherichia coli PABA synthase components PabA and PabB		Null mutant is viable and PABA auxotroph	YNR033W	S000005316
ABZ2		Aminodeoxychorismate lyase (4-amino-4-deoxychorismate lyase), catalyzes the third step in para-aminobenzoic acid biosynthesis; involved in folic acid biosynthesis		Null: PABA auxotrophy. Defective in 4-amino-4-deoxychorismate lyase activity.	YMR289W	S000004902
ACA1		Basic leucine zipper (bZIP) transcription factor of the ATF/CREB family, may regulate transcription of genes involved in utilization of non-optimal carbon sources			YER045C	S000000847
ACB1		Acyl-CoA-binding protein, transports newly synthesized acyl-CoA esters from fatty acid synthetase (Fas1p-Fas2p) to acyl-CoA-consuming processes		Null mutant is viable, slightly reduced growth rate on ethanol	YGR037C	S000003269
ACC1	ABP2|FAS3|MTR7	Acetyl-CoA carboxylase, biotin containing enzyme that catalyzes the carboxylation of acetyl-CoA to form malonyl-CoA; required for de novo biosynthesis of long-chain fatty acids		acc1 spores fail to enter vegetative growth	YNR016C	S000005299
ACD1						S000029024
ACE2		Transcription factor that activates expression of early G1-specific genes, localizes to daughter cell nuclei after cytokinesis and delays G1 progression in daughters, localization is regulated by phosphorylation; potential Cdc28p substrate		Null mutant is viable, exhibits decreased CUP1 mRNA expression	YLR131C	S000004121
ACF2	ENG2|PCA1	Intracellular beta-1,3-endoglucanase, expression is induced during sporulation; may have a role in cortical actin cytoskeleton assembly		Null mutant shows defect in in vitro actin assembly in the permeabilized cell assay	YLR144C	S000004134
ACF4		Protein of unknown function, computational analysis of large-scale protein-protein interaction data suggests a possible role in actin cytoskeleton organization; potential Cdc28p substrate			YJR083C	S000003843
ACH1		Acetyl-coA hydrolase, primarily localized to mitochondria; phosphorylated; required for acetate utilization and for diploid pseudohyphal growth			YBL015W	S000000111
ACK1		Protein that functions upstream of Pkc1p in the cell wall integrity pathway; GFP-fusion protein expression is induced in response to the DNA-damaging agent MMS; non-tagged Ack1p is detected in purified mitochondria			YDL203C	S000002362
ACM1		Pseudosubstrate inhibitor of the anaphase-promoting complex/cyclosome (APC/C), that suppresses APC/C [Cdh1]-mediated proteolysis of mitotic cyclins; associates with Cdh1p, Bmh1p and Bmh2p; cell cycle regulated protein			YPL267W	S000006188
ACN9		Protein of the mitochondrial intermembrane space, required for acetate utilization and gluconeogenesis; has orthologs in higher eukaryotes			YDR511W	S000002919
ACO1	GLU1	Aconitase, required for the tricarboxylic acid (TCA) cycle and also independently required for mitochondrial genome maintenance; phosphorylated; component of the mitochondrial nucleoid; mutation leads to glutamate auxotrophy			YLR304C	S000004295
ACO2		Putative mitochondrial aconitase isozyme; similarity to Aco1p, an aconitase required for the TCA cycle; expression induced during growth on glucose, by amino acid starvation via Gcn4p, and repressed on ethanol			YJL200C	S000003736
ACP1		Mitochondrial matrix acyl carrier protein, involved in biosynthesis of octanoate, which is a precursor to lipoic acid; activated by phosphopantetheinylation catalyzed by Ppt2p		The null mutant is viable but respiratory-deficient and contains only 5-10% of the wild-type amount of lipoic acid.	YKL192C	S000001675
ACR1		Involved in sensitivity to aculeacin A		Resistant to aculeacin A, echinocandin B, and papulacandin B		S000029025
ACR2		Involved in sensitivity to aculeacin A		Resistant to aculeacin A, echinocandin B, but not papulacandin B		S000029026
ACR3		Involved in sensitivity to aculeacin A		Resistant to aculeacin A, echinocandin B, and papulacandin B		S000029027
ACR4		Involved in sensitivity to aculeacin A		Resistant to aculeacin A, echinocandin B, and papulacandin B		S000029028
ACS1	FUN44	Acetyl-coA synthetase isoform which, along with Acs2p, is the nuclear source of acetyl-coA for histone acetlyation; expressed during growth on nonfermentable carbon sources and under aerobic conditions		Null mutant is viable and grows on ethanol or glucose (but not acetate) as sole carbon source (but with long lag-phase); acs1 acs2 double null mutant is inviable	YAL054C	S000000050
ACS2		Acetyl-coA synthetase isoform which, along with Acs1p, is the nuclear source of acetyl-coA for histone acetylation; mutants affect global transcription; required for growth on glucose; expressed under anaerobic conditions		Null mutant is viable, and grows on ethanol or acetate as sole carbon source, but is unable to grow on glucose as sole carbon source; acs1 acs2 double null mutant is inviable	YLR153C	S000004143
ACT1	ABY1|END7	Actin, structural protein involved in cell polarization, endocytosis, and other cytoskeletal functions	actin		YFL039C	S000001855
ADA2	SWI8	Transcription coactivator, component of the ADA and SAGA transcriptional adaptor/HAT (histone acetyltransferase) complexes		Null mutant is viable, grows poorly on minimal media	YDR448W	S000002856
ADD1						S000029029
ADD37		Protein of unknown function involved in ER-associated protein degradation; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and is induced in response to the DNA-damaging agent MMS; YMR184W is not an essential gene			YMR184W	S000004796
ADD66	PBA2|POC2	Protein involved in 20S proteasome assembly; forms a heterodimer with Pba1p that binds to proteasome precursors; similar to human PAC2 constituent of the PAC1-PAC2 complex involved in proteasome assembly			YKL206C	S000001689
ADE1		N-succinyl-5-aminoimidazole-4-carboxamide ribotide (SAICAR) synthetase, required for 'de novo' purine nucleotide biosynthesis; red pigment accumulates in mutant cells deprived of adenine		Null mutant is viable and adenine auxotroph; ade1 mutants produce red pigment when grown in media containing low lvels of adenine.	YAR015W	S000000070
ADE12	BRA9	Adenylosuccinate synthase, catalyzes the first step in synthesis of adenosine monophosphate from inosine 5'monophosphate during purine nucleotide biosynthesis; exhibits binding to single-stranded autonomously replicating (ARS) core sequence		Adenine requiring	YNL220W	S000005164
ADE13	BRA1|BRA8	Adenylosuccinate lyase, catalyzes two steps in the 'de novo' purine nucleotide biosynthetic pathway; expression is repressed by adenine and activated by Bas1p and Pho2p; mutations in human ortholog ADSL cause adenylosuccinase deficiency		Unable to grow on complete media with glucose or fructose as a carbon source, but can grow with glycerol or ethanol	YLR359W	S000004351
ADE15				Adenine requiring		S000029030
ADE16		Enzyme of 'de novo' purine biosynthesis containing both 5-aminoimidazole-4-carboxamide ribonucleotide transformylase and inosine monophosphate cyclohydrolase activities, isozyme of Ade17p; ade16 ade17 mutants require adenine and histidine		Null mutant is viable; ade16 ade17 double mutant requires adenine	YLR028C	S000004018
ADE17		Enzyme of 'de novo' purine biosynthesis containing both 5-aminoimidazole-4-carboxamide ribonucleotide transformylase and inosine monophosphate cyclohydrolase activities, isozyme of Ade16p; ade16 ade17 mutants require adenine and histidine		Null mutant is viable; ade16 ade17 double mutants require adenine	YMR120C	S000004727
ADE2		Phosphoribosylaminoimidazole carboxylase, catalyzes a step in the 'de novo' purine nucleotide biosynthetic pathway; red pigment accumulates in mutant cells deprived of adenine		Null mutant is viable and requires adenine. ade2 mutants are blocked at a stage in the adenine biosynthetic pathway that causes an intermediate to accumulate in the vacuole; the intermediate gives the cell a red color.	YOR128C	S000005654
ADE3		Cytoplasmic trifunctional enzyme C1-tetrahydrofolate synthase, involved in single carbon metabolism and required for biosynthesis of purines, thymidylate, methionine, and histidine		Null mutant is viable, adenine auxotroph, histidine auxotroph	YGR204W	S000003436
ADE4		Phosphoribosylpyrophosphate amidotransferase (PRPPAT; amidophosphoribosyltransferase), catalyzes first step of the 'de novo' purine nucleotide biosynthetic pathway		Adenine requiring	YMR300C	S000004915
ADE5,7		Bifunctional enzyme of the 'de novo' purine nucleotide biosynthetic pathway, contains aminoimidazole ribotide synthetase and glycinamide ribotide synthetase activities		Adenine requiring	YGL234W	S000003203
ADE6		Formylglycinamidine-ribonucleotide (FGAM)-synthetase, catalyzes a step in the 'de novo' purine nucleotide biosynthetic pathway		Adenine requiring	YGR061C	S000003293
ADE8		Phosphoribosyl-glycinamide transformylase, catalyzes a step in the 'de novo' purine nucleotide biosynthetic pathway		Adenine requiring	YDR408C	S000002816
ADH1	ADC1	Alcohol dehydrogenase, fermentative isozyme active as homo- or heterotetramers; required for the reduction of acetaldehyde to ethanol, the last step in the glycolytic pathway		Null mutant is viable and sensitive to formaldehyde.	YOL086C	S000005446
ADH2	ADR2	Glucose-repressible alcohol dehydrogenase II, catalyzes the conversion of ethanol to acetaldehyde; involved in the production of certain carboxylate esters; regulated by ADR1			YMR303C	S000004918
ADH3		Mitochondrial alcohol dehydrogenase isozyme III; involved in the shuttling of mitochondrial NADH to the cytosol under anaerobic conditions and ethanol production			YMR083W	S000004688
ADH4	NRC465|ZRG5	Alcohol dehydrogenase isoenzyme type IV, dimeric enzyme demonstrated to be zinc-dependent despite sequence similarity to iron-activated alcohol dehydrogenases; transcription is induced in response to zinc deficiency			YGL256W	S000003225
ADH5		Alcohol dehydrogenase isoenzyme V; involved in ethanol production			YBR145W	S000000349
ADH6	ADHVI	NADPH-dependent medium chain alcohol dehydrogenase with broad substrate specificity; member of the cinnamyl family of alcohol dehydrogenases; may be involved in fusel alcohol synthesis or in aldehyde tolerance			YMR318C	S000004937
ADH7	ADHVII	NADPH-dependent medium chain alcohol dehydrogenase with broad substrate specificity; member of the cinnamyl family of alcohol dehydrogenases; may be involved in fusel alcohol synthesis or in aldehyde tolerance			YCR105W	S000000702
ADI1		Acireductone dioxygenease involved in the methionine salvage pathway; ortholog of human MTCBP-1; transcribed with YMR010W and regulated post-transcriptionally by RNase III (Rnt1p) cleavage; ADI1 mRNA is induced in heat shock conditions			YMR009W	S000004611
ADK1	AKY1|AKY2	Adenylate kinase, required for purine metabolism; localized to the cytoplasm and the mitochondria; lacks cleavable signal sequence			YDR226W	S000002634
ADK2	AKY3|PAK3	Mitochondrial adenylate kinase, catalyzes the reversible synthesis of GTP and AMP from GDP and ADP; may serve as a back-up for synthesizing GTP or ADP depending on metabolic conditions; 3' sequence of ADK2 varies with strain background			YER170W	S000000972
ADO1		Adenosine kinase, required for the utilization of S-adenosylmethionine (AdoMet); may be involved in recycling adenosine produced through the methyl cycle			YJR105W	S000003866
ADP1		Putative ATP-dependent permease of the ABC transporter family of proteins			YCR011C	S000000604
ADR1		Carbon source-responsive zinc-finger transcription factor, required for transcription of the glucose-repressed gene ADH2, of peroxisomal protein genes, and of genes required for ethanol, glycerol, and fatty acid utilization		abolished derepression of ADH2	YDR216W	S000002624
ADY2	ATO1	Acetate transporter required for normal sporulation; phosphorylated in mitochondria		Null mutant is viable; forms predominantly asci containing 2 spores (dyads) whensporulated; required for long-term growth on YPD at 37 degrees C; defect in ammonia production in S.cerevisiae colonies	YCR010C	S000000603
ADY3		Protein required for spore wall formation, thought to mediate assembly of a Don1p-containing structure at the leading edge of the prospore membrane via interaction with spindle pole body components; potentially phosphorylated by Cdc28p		Null forms largely asci that contain 2 spores (dyads) when sporulated. Sporulation defect in ady3ady3 cells is due to a failure to synthesize spore wall polymers.	YDL239C	S000002398
ADY4		Structural component of the meiotic outer plaque, which is a membrane-organizing center that assembles on the cytoplasmic face of the spindle pole body during meiosis II and triggers the formation of the prospore membrane			YLR227C	S000004217
AEP1	NCA1	Protein required for expression of the mitochondrial OLI1 gene encoding subunit 9 of F1-F0 ATP synthase		permanently respiratory defective; unable to translate OLI1 transcripts	YMR064W	S000004668
AEP2	ATP13	Mitochondrial protein, likely involved in translation of the mitochondrial OLI1 mRNA; exhibits genetic interaction with the OLI1 mRNA 5'-untranslated leader		non-conditional respiratory mutant; unable to express the mitochondrial OLI1 gene; pet mutant	YMR282C	S000004895
AEP3		Peripheral mitochondrial inner membrane protein, located on the matrix face of the membrane; stabilizes the bicistronic AAP1-ATP6 mRNA encoding subunits 6 and 8 of the ATP synthase complex			YPL005W	S000005926
AFG1		Conserved protein that may act as a chaperone in the degradation of misfolded or unassembled cytochrome c oxidase subunits; localized to matrix face of the mitochondrial inner membrane; member of the AAA family but lacks a protease domain			YEL052W	S000000778
AFG2	DRG1	ATPase of the CDC48/PAS1/SEC18 (AAA) family, forms a hexameric complex; may be involved in degradation of aberrant mRNAs			YLR397C	S000004389
AFG3	YTA10	Component, with Yta12p, of the mitochondrial inner membrane m-AAA protease that mediates degradation of misfolded or unassembled proteins and is also required for correct assembly of mitochondrial enzyme complexes		nuclear petite phenotype; loss of repspiratory competence	YER017C	S000000819
AFI1		Arf3p polarization-specific docking factor, required for the polarized distribution of the ADP-ribosylation factor, Arf3p; participates in polarity development and maintenance of a normal haploid budding pattern; interacts with Cnm7p			YOR129C	S000005655
AFR1		Protein required for pheromone-induced projection (shmoo) formation; regulates septin architecture during mating; has an RVXF motif that mediates targeting of Glc7p to mating projections; interacts with Cdc12p		defect in alpha-factor-stimulated morphogenesis	YDR085C	S000002492
AFT1	RCS1	Transcription factor involved in iron utilization and homeostasis; binds the consensus site PyPuCACCCPu and activates the expression of target genes in response to changes in iron availability		Null mutant is viable; mutant cells are larger than normal, since critical size for budding is increased; mutant shows incorrect regulation of expression of genes involved in iron uptake; spores from heterozygous diploid have reduced ability to germinate;	YGL071W	S000003039
AFT2		Iron-regulated transcriptional activator; activates genes involved in intracellular iron use and required for iron homeostasis and resistance to oxidative stress; similar to Aft1p		Null: Deletion of AFT2 exacerates iron deficiency of AFT1 disruption.	YPL202C	S000006123
AGA1		Anchorage subunit of a-agglutinin of a-cells, highly O-glycosylated protein with N-terminal secretion signal and C-terminal signal for addition of GPI anchor to cell wall, linked to adhesion subunit Aga2p via two disulfide bonds	a-agglutinin anchorage subunit	mating defect in liquid medium	YNR044W	S000005327
AGA2		Adhesion subunit of a-agglutinin of a-cells, C-terminal sequence acts as a ligand for alpha-agglutinin (Sag1p) during agglutination, modified with O-linked oligomannosyl chains, linked to anchorage subunit Aga1p via two disulfide bonds	a-agglutinin adhesion subunit		YGL032C	S000003000
AGC1		Mitochondrial amino acid transporter, acts both as a glutamate uniporter and as an aspartate-glutamate exchanger; involved in nitrogen metabolism and nitrogen compound biosynthesis		Null: viable. Other phenotypes: not viable on minimal medium supplemented with acetate or oleate	YPR021C	S000006225
AGE1	SAT1	ADP-ribosylation factor (ARF) GTPase activating protein (GAP) effector, involved in the secretory and endocytic pathways; contains C2C2H2 cysteine/histidine motif			YDR524C	S000002932
AGE2	SAT2	ADP-ribosylation factor (ARF) GTPase activating protein (GAP) effector, involved in Trans-Golgi-Network (TGN) transport; contains C2C2H2 cysteine/histidine motif			YIL044C	S000001306
AGP1	YCC5	Low-affinity amino acid permease with broad substrate range, involved in uptake of asparagine, glutamine, and other amino acids; expression is regulated by the SPS plasma membrane amino acid sensor system (Ssy1p-Ptr3p-Ssy5p)		Null mutant is viable; resistant to the amino acid analog gamma-hydroxyaspartate, decreased growth on asn, gln and some other amino acids in strains in which Gap1 and Gnp1 are also missing.	YCL025C	S000000530
AGP2		High affinity polyamine permease, preferentially uses spermidine over putrescine; expression is down-regulated by osmotic stress; plasma membrane carnitine transporter, also functions as a low-affinity amino acid permease		Null mutant is viable; loss of growth on some amino acids as nitrogen source (leu, thr) in a strain which has no Gap1p or Agp1p function	YBR132C	S000000336
AGP3		Low-affinity amino acid permease, may act to supply the cell with amino acids as nitrogen source in nitrogen-poor conditions; transcription is induced under conditions of sulfur limitation; plays a role in regulating Ty1 transposition		Null mutant is viable; loss of growth on some amino acids as nitrogen source (leu, thr) in a strain which has no Gap1p or Agp1p function	YFL055W	S000001839
AGS1				aminoglycoside antibiotic sensitive		S000029031
AGX1		Alanine:glyoxylate aminotransferase (AGT), catalyzes the synthesis of glycine from glyoxylate, which is one of three pathways for glycine biosynthesis in yeast; has similarity to mammalian and plant alanine:glyoxylate aminotransferases	alanine:glyoxylate aminotransferase		YFL030W	S000001864
AHA1		Co-chaperone that binds to Hsp82p and activates its ATPase activity; similar to Hch1p; expression is regulated by stresses such as heat shock			YDR214W	S000002622
AHC1		Subunit of the Ada histone acetyltransferase complex, required for structural integrity of the complex			YOR023C	S000005549
AHC2		Protein of unknown function, putative transcriptional regulator; proposed to be a Ada Histone acetyltransferase complex component; GFP tagged protein is localized to the cytoplasm and nucleus			YCR082W	S000000678
AHP1		Thiol-specific peroxiredoxin, reduces hydroperoxides to protect against oxidative damage; function in vivo requires covalent conjugation to Urm1p	cTPxIII	hypersensitive to tert-butyl hydroperoxide	YLR109W	S000004099
AHT1		Dubious open reading frame, unlikely to encode a protein; not conserved in closely related Saccharomyces species; multicopy suppressor of glucose transport defects, likely due to the presence of an HXT4 regulatory element in the region			YHR093W	S000001135
AI1		Reverse transcriptase required for splicing of the COX1 pre-mRNA, encoded by a mobile group II intron within the mitochondrial COX1 gene		unable to excise adjacent aI2 intron; reduced intron mobility	Q0050	S000007261
AI2		Reverse transcriptase required for splicing of the COX1 pre-mRNA, encoded by a mobile group II intron within the mitochondrial COX1 gene		defective in aI1 and aI2 intron mobility	Q0055	S000007262
AI3		Endonuclease I-SceIII, encoded by a mobile group I intron within the mitochondrial COX1 gene	I-SceIII	Mutations that block aI3 splicing cause defects in respiration and accumulate I-SceIII endonuclease.	Q0060	S000007263
AI4		Endonuclease I-SceII, encoded by a mobile group I intron within the mitochondrial COX1 gene; intron is normally spliced by the BI4p maturase but AI4p can mutate to acquire the same maturase activity	I-SceII	Mutations that block aI4 splicing cause defects in respiration; other mutations affect intron mobility or maturase functions.	Q0065	S000007264
AI5_ALPHA		Endonuclease I-SceIV, involved in intron mobility; encoded by a mobile group I intron within the mitochondrial COX1 gene			Q0070	S000007265
AI5_BETA		Protein of unknown function, encoded within an intron of the mitochondrial COX1 gene; translational initiation codon is predicted to be ATA rather than ATG			Q0075	S000007266
AIF1	CPD1	Mitochondrial cell death effector that translocates to the nucleus in response to apoptotic stimuli, homolog of mammalian Apoptosis-Inducing Factor, putative reductase			YNR074C	S000005357
AIM1		Protein involved in mitochondrial function or organization; null mutant displays elevated frequency of mitochondrial genome loss			YAL046C	S000000044
AIM10		Protein with similarity to tRNA synthetases; non-tagged protein is detected in purified mitochondria; null mutant is viable and displays elevated frequency of mitochondrial genome loss			YER087W	S000000889
AIM11		Putative protein of unknown function; YER093C-A contains an intron; YER093C-A is not an essential gene			YER093C-A	S000002960
AIM13		Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria; null mutant displays reduced respiratory growth and reduced frequency of mitochondrial genome loss			YFR011C	S000001907
AIM14		Putative protein of with similarity to iron/copper reductases (FRE1-8), possibly involved in iron homeostasis; may interact with ribosomes; null mutant displays elevated frequency of mitochondrial genome loss			YGL160W	S000003128
AIM17	FMP12	Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; null mutant displays reduced frequency of mitochondrial genome loss			YHL021C	S000001013
AIM18	FMP22	Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; null mutant displays elevated frequency of mitochondrial genome loss			YHR198C	S000001241
AIM19	LRC2	Putative protein of unknown function; the authentic, non-tagged protein is detected in purified mitochondria in high-throughput studies; null mutant displays reduced respiratory growth			YIL087C	S000001349
AIM2		Cytoplasmic protein involved in mitochondrial function or organization; null mutant displays reduced frequency of mitochondrial genome loss; potential Hsp82p interactor			YAL049C	S000000047
AIM20		Putative protein of unknown function; overexpression causes a cell cycle delay or arrest; green fluorescent protein (GFP)-fusion protein localizes to the vacuole; null mutant displays elevated frequency of mitochondrial genome loss			YIL158W	S000001420
AIM21		Protein of unknown function; may interact with ribosomes; GFP-fusion protein colocalizes with Sac1p to the actin cytoskeleton; YIR003W is not an essential gene; null mutant displays elevated frequency of mitochondrial genome loss			YIR003W	S000001442
AIM22		Putative lipoate-protein ligase A family member; null mutant is viable and displays reduced frequency of mitochondrial genome loss			YJL046W	S000003582
AIM23		Putative protein of unknown function; the authentic non-tagged protein is detected in highly purified mitochondria; null mutant is viable, displays severe respiratory growth defect and elevated frequency of mitochondrial genome loss			YJL131C	S000003667
AIM24	FMP26	Protein of unknown function; the authentic, non-tagged protein is detected in purified mitochondria in high-throughput studies; null mutant displays reduced respiratory growth and elevated frequency of mitochondrial genome loss			YJR080C	S000003841
AIM25		Putative protein of unknown function; non-tagged protein is detected in purified mitochondria in high-throughput studies; similar to murine NOR1; null mutant is viable and displays elevated frequency of mitochondrial genome loss			YJR100C	S000003861
AIM26		Putative protein of unknown function; null mutant is viable and displays elevated frequency of mitochondrial genome loss; null mutation confers sensitivity to tunicamycin and DTT			YKL037W	S000001520
AIM27	LRC3	Putative protein of unknown function, required for respiratory growth; YKL207W is not an essential gene			YKL207W	S000001690
AIM28	FMP13	Mitochondrial protein of unknown function; null mutant displays a slow growth defect in combination with a null mutation in the mitochondrial GTPase GEM1; null mutant displays reduced frequency of mitochondrial genome loss			YKR016W	S000001724
AIM29		Putative protein of unknown function; epitope-tagged protein localizes to the cytoplasm; YKR074W is not an essential gene; null mutant displays elevated frequency of mitochondrial genome loss			YKR074W	S000001782
AIM3		Protein interacting with Rvs167p; null mutant is viable and displays elevated frequency of mitochondrial genome loss			YBR108W	S000000312
AIM31		Putative protein of unknown function; GFP-fusion protein localizes to mitochondria; null mutant is viable and displays reduced frequency of mitochondrial genome loss			YML030W	S000004492
AIM32		Putative protein of unknown function; null mutant is viable and displays elevated frequency of mitochondrial genome loss			YML050W	S000004514
AIM33		Putative protein of unknown function, highly conserved across species and orthologous to human CYB5R4; null mutant displays reduced frequency of mitochondrial genome loss			YML087C	S000004552
AIM34		Protein of unknown function; GFP-fusion protein localizes to the mitochondria; null mutant is viable and displays reduced frequency of mitochondrial genome loss			YMR003W	S000004605
AIM36	FMP39	Protein of unknown function; null mutant displays reduced respiratory growth and elevated frequency of mitochondrial genome loss; the authentic, non-tagged protein is detected in purified mitochondria in high-throughput studies			YMR157C	S000004766
AIM37		Putative protein of unknown function; non-tagged protein is detected in purified mitochondria; null mutant is viable and displays reduced respiratory growth and reduced frequency of mitochondrial genome los			YNL100W	S000005044
AIM38		Putative protein of unknown function; non-tagged protein is detected in purified mitochondria; null mutant is viable and displays reduced frequency of mitochondrial genome loss			YNR018W	S000005301
AIM39		Putative protein of unknown function; null mutant displays elevated frequency of mitochondrial genome loss			YOL053W	S000005414
AIM4	SOY1	Protein proposed to be associated with the nuclear pore complex; null mutant is viable, displays elevated frequency of mitochondrial genome loss and is sensitive to freeze-thaw stress			YBR194W	S000000398
AIM41		Putative protein of unknown function; the authentic protein is detected in highly purified mitochondria in high-throughput studies; null mutant displays reduced frequency of mitochondrial genome loss			YOR215C	S000005741
AIM42	FMP31	Protein of unknown function; overexpression causes a cell cycle delay; the authentic, non-tagged protein is detected in purified mitochondria in high-throughput studies; null mutant displays elevated frequency of mitochondrial genome loss			YOR286W	S000005812
AIM43	FMP14	Protein of unknown function; the authentic, non-tagged protein is detected in purified mitochondria in high-throughput studies; null mutant displays elevated frequency of mitochondrial genome loss			YPL099C	S000006020
AIM44		Protein of unknown function; GFP-fusion protein localizes to the bud neck; transcription is regulated by Swi5p; null mutant displays elevated frequency of mitochondrial genome loss			YPL158C	S000006079
AIM45		Protein with similarity to mammalian electron transfer flavoprotein complex subunit ETF-alpha; interacts with frataxin, Yfh1p; null mutant displays elevated frequency of mitochondrial genome loss			YPR004C	S000006208
AIM46	FMP34	Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; null mutant displays elevated frequency of mitochondrial genome loss			YHR199C	S000001242
